pv_id,page_identifier,page_name_my,cid_type,page_cat,biz_par,biz_bg,status,begin_date,end_date,page_intention,biz_bg_name
40,packages/show/pages/index/index,演出首页,mini_programs,1,,1,1,2018-07-05,2099-01-01,导航页,演出
41,packages/show/pages/search/index,演出搜索页,mini_programs,1,key,1,1,2018-07-05,2099-01-01,导航页,演出
42,packages/show/pages/detail/index,演出详情页,mini_programs,2,id,1,1,2018-07-05,2099-01-01,详情页,演出
43,packages/show/pages/seats/seats,演出座位选择页,mini_programs,2,pId,1,1,2018-07-05,2099-01-01,详情页,演出
44,packages/show/pages/list/theatre,演出场馆列表页,mini_programs,1,,1,1,2018-07-05,2099-01-01,导航页,演出
45,packages/show/pages/detail/venue,演出场馆详情页,mini_programs,1,shopId,1,1,2018-07-05,2099-01-01,导航页,演出
46,c_butmynlk,演出首页,pc,1,,1,1,2018-07-05,2099-01-01,导航页,演出
47,c_352o88g9,演出搜索页,pc,1,,1,1,2018-07-05,2099-01-01,导航页,演出
48,c_bfo0abmf,演出详情页,pc,2,,1,1,2018-07-05,2099-01-01,详情页,演出
49,c_wzyexh5l,平台开机屏,native,1,city_id,0,1,2018-07-05,2099-01-01,导航页,平台
50,c_f740bkf7,平台首页,native,1,city_id,0,1,2018-07-05,2099-01-01,导航页,平台
51,c_5hep1k02,平台个人中心,native,1,city_id,0,1,2018-07-05,2099-01-01,导航页,平台
52,c_qc0t1u1j,平台资讯详情页,native,4,,0,1,2018-07-05,2099-01-01,其他,平台
53,c_ak74h40f,平台PUSH,native,1,,0,1,2018-07-05,2099-01-01,导航页,平台
54,c_1pae4zyv,演出票品选择页,native,2,city_id,1,1,2018-07-05,2099-01-01,详情页,演出
55,c_4q92rq00,演出订单详情页,native,4,city_id,1,1,2018-07-05,2099-01-01,其他,演出
56,c_b5okwrne,演出详情页,native,2,drama_id&city_id(16%数据无法解析drama_id),1,1,2018-07-05,2099-01-01,详情页,演出
57,c_bw4xxfd2,演出场馆详情页,native,1,city_id,1,1,2018-07-05,2099-01-01,导航页,演出
58,c_pp92sa1m,演出确认订单页,native,3,city_id,1,1,2018-07-05,2099-01-01,提交订单页,演出
59,c_k4c7jr2r,演出区域选择页,native,2,,1,1,2018-07-05,2099-01-01,详情页,演出
60,c_rpnwdkyc,演出座位选择页,native,2,city_id,1,1,2018-07-05,2099-01-01,详情页,演出
61,c_ub9cbobf,演出列表页,native,1,city_id,1,1,2018-07-05,2099-01-01,导航页,演出
62,c_95t14cas,演出抵用券详情页,native,1,,1,1,2018-07-05,2099-01-01,导航页,演出
63,c_2nq786nl,演出V卡详情页,native,1,city_id,1,1,2018-07-05,2099-01-01,导航页,演出
64,c_bd8cu9b,电影首页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
65,c_md3aiihu,电影影人详情页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
66,c_ohsrk3j4,电影影片详情页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
67,c_5ptugikt,电影短评列表页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
68,c_ydur5h73,电影短评列表页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
69,c_8h1c8hrl,电影短评详情页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
70,c_8r1tct9,电影上映影院与购票页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
71,c_m9b83s0,电影排片页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
72,c_qcVse,电影座位选择页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
73,c_cs4odfm,电影确认订单页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
74,c_te77g2x,电影订单详情页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
75,c_x4Il4,电影影院会员卡详情页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
76,c_7ar1hc0j,电影我的影评,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
77,c_256bojfx,电影卖品详情页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
78,c_wh7rogdp,电影我的卖品订单详情页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
79,c_BvlYz,电影申请退款页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
80,c_y02b19d,电影退款详情页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
81,c_g42lbw3k,电影作品详情页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
82,c_8ta0krrs,电影影人详情页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
83,c_6av22msd,电影短评详情页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
84,c_50junqfk,电影资讯详情页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
85,c_j12hn5s3,电影搜索页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
86,c_xscvruki,电影影评列表页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
87,com.gewara.trade.cinema.MainCinemaListFragment,电影首页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
88,com.gewara.trade.cinema.c,电影首页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
89,DP.MAYHomeViewController,电影首页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
90,com.gewara.trade.cinema.MovieCinemaListActivity,电影上映影院与购票页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
91,com.gewara.trade.cinema.MoviePoiCinemaActivity,电影排片页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
92,com.gewara.trade.seat.MovieSelectSeatActivity,电影座位选择页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
93,ra.trade.pay.MoviePaySeatActivity,电影确认订单页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
94,com.gewara.trade.pay.MoviePaySeatActivity,电影确认订单页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
95,com.gewara.trade.order.seat.MovieSeatOrderDetailActivity,电影订单详情页,native,1,,2,1,2018-07-05,2099-01-01,导航页,电影
96,pages/user/index,我的,mini_programs,1,,0,1,2018-07-25,2099-01-01,导航页,平台
97,c_3m01icu6,演出搜索页,h5,1,fromTag,1,1,2018-07-05,2099-01-01,导航页,演出
98,pages/showsubs/collect/index,演出收藏列表页,mini_programs,1,,1,1,2018-07-26,2099-01-01,导航页,演出
99,pages/show/search/index,演出搜索页,mini_programs,1,gcityId&cityId&key&openId,1,1,2018-07-05,2099-01-01,导航页,演出
