order_src,6,6,wg,合作公众号,微信演出赛事,微信,微格
order_src,7,13,wg,手机端,娱票儿,娱票儿,微格
order_src,8,11,wg,Android客户端,娱票儿,娱票儿app,微格
order_src,9,11,wg,IOS客户端,娱票儿,娱票儿app,微格
order_src,20,11,oth,京东,api分销,分销,微格
order_src,21,11,oth,格瓦拉,api分销,北向接出,微格
order_src,10,5,wg,猫眼,猫眼,猫眼,微格
order_src,11,11,oth,喵特,api分销,分销,微格
order_src,12,13,wg,手Q,演出M站,手Q,微格
order_src,13,11,oth,开心麻花,api分销,分销,微格
order_src,14,4,wg,微信小程序,微信演出赛事,微信,微格
order_src,15,8,wg,格瓦拉Android,格瓦拉,格瓦拉app,微格
order_src,16,8,wg,格瓦拉IOS,格瓦拉,格瓦拉app,微格
performance_ticketstatus,1,,,未上线,未上线,未上线,
performance_ticketstatus,2,,,预售,预售,预售,
performance_ticketstatus,3,,,在售中,在售中,在售中,
performance_ticketstatus,4,,,已售罄,已售罄,已售罄,
performance_ticketstatus,5,,,已结束,已结束,已结束,
order_reserve_status,0,,,已创建,已创建,已创建,
order_reserve_status,1,,,锁座失败,锁座失败,锁座失败,
order_reserve_status,2,,,已取消,已取消,已取消,
order_reserve_status,3,,,已锁座,已锁座,已锁座,
order_reserve_status,4,,,支付超时,支付超时,支付超时,
order_reserve_status,5,,,支付失败,支付失败,支付失败,
order_reserve_status,6,,,支付成功,支付成功,支付成功,
order_reserve_status,7,,,出票中,出票中,出票中,
order_reserve_status,8,,,出票失败,出票失败,出票失败,
order_reserve_status,9,,,已出票,已出票,已出票,
order_refund_status,0,,,未发起,未发起,未发起,
order_refund_status,1,,,发起失败,发起失败,发起失败,
order_refund_status,2,,,发起成功,发起成功,发起成功,
order_refund_status,3,,,退款中,退款中,退款中,
order_refund_status,4,,,退款失败,退款失败,退款失败,
order_refund_status,5,,,已退款,已退款,已退款,
order_deliver_status,0,,,未配送,未配送,未配送,
order_deliver_status,1,,,配送中,配送中,配送中,
order_deliver_status,2,,,配送失败,配送失败,配送失败,
order_deliver_status,3,,,已配送,已配送,已配送,
fetch_type,1,,,上门自取,上门自取,上门自取,
fetch_type,2,,,快递配送,快递配送,快递配送,
fetch_type,3,,,凭身份证入场,凭身份证入场,凭身份证入场,
fetch_type,4,,,自助取票,自助取票,自助取票,
fetch_type,5,,,电子票,电子票,电子票,
fetch_type,6,,,凭身份证兑换,凭身份证兑换,凭身份证兑换,
fetch_type,7,,,临场派票,临场派票,临场派票,
customer_lvl1_id,1,,,永乐,永乐系统,渠道,
customer_lvl1_id,2,,,聚橙,聚橙系统,渠道,
customer_lvl1_id,3,,,票牛,票牛系统,渠道,
customer_lvl1_id,4,,,开心麻花,开心麻花系统,渠道,
customer_lvl1_id,5,,,摩天轮,牛魔王系统,渠道,
customer_lvl1_id,6,,,范特西,范特西系统,自营,
customer_lvl1_id,7,,,智慧剧院,智慧剧院,自营,
customer_lvl1_id,8,,,微票开放平台,微票开放平台,自营,
customer_lvl1_id,9,,,卖座,上海大剧院,自营,
customer_lvl1_id,10,,,smg,上海文广集团,自营,
customer_lvl1_id,11,,,智慧剧院,微票开放平台,自营,
action_flag,10,,,注册,注册,,
action_flag,20,,,兴趣,兴趣,,
action_flag,30,,,提醒,提醒,,
action_flag,40,,,下单,下单,,
action_flag,50,,,支付,支付,,
action_flag,60,,,复购,复购,,
city_level,1,,,一线城市,一线城市,,
city_level,2,,,二线城市,二线城市,,
city_level,3,,,三线城市,三线城市,,
city_level,4,,,四线城市,四线城市,,
discounttype,1,,,抵用券,抵用券,,
discounttype,2,,,系统优惠,系统优惠,,
discounttype,3,,,点卡优惠,点卡优惠,,
discounttype,4,,,优惠码,优惠码,,
page_cat,1,,,导航页,导航页,,
page_cat,2,,,详情页,详情页,,
page_cat,3,,,提交订单页,提交订单页,,
page_cat,4,,,其他,其他,,
user_int,1,,,搜索,搜索,,
user_int,2,,,分类,分类,,
user_int,3,,,资源位,资源位,,
user_int,4,,,筛选排序,筛选排序,,
user_int,5,,,其他,其他,,
user_int,6,,,自主,自主,,
partition_biz_bg,0,,,平台,平台,,
partition_biz_bg,1,,,演出,演出,,
partition_biz_bg,2,,,电影,电影,,
order_source&channel_id&sellchannel,1,1,5,猫眼APP,猫眼,,
order_source&channel_id&sellchannel,2,2,0,美团主站,电影专属,,
order_source&channel_id&sellchannel,2,3,2,美团APP,美团,,
order_source&channel_id&sellchannel,1,4,13,猫眼I版,演出M站,,
order_source&channel_id&sellchannel,2,5,0,美团PAD,电影专属,,
order_source&channel_id&sellchannel,6,6,1,点评主APP,点评,,
order_source&channel_id&sellchannel,7,7,13,手机QQ,演出M站,,
order_source&channel_id&sellchannel,0,8,0,第三方渠道,电影专属,,
order_source&channel_id&sellchannel,0,9,0,微信,电影专属,,
order_source&channel_id&sellchannel,0,10,0,影投微信小程序,电影专属,,
order_source&channel_id&sellchannel,0,11,0,影院微信小程序,电影专属,,
order_source&channel_id&sellchannel,0,0,0,未知,电影专属,,
order_source&channel_id&sellchannel,2,30000,0,美团微信小程序,电影专属,,
order_source&channel_id&sellchannel,2,30001,0,美团I版,电影专属,,
order_source&channel_id&sellchannel,6,60001,0,点评团购APP,电影专属,,
order_source&channel_id&sellchannel,6,60002,0,点评主APP内嵌H5,电影专属,,
order_source&channel_id&sellchannel,6,60003,3,点评微信钱包,微信吃喝玩乐,,
order_source&channel_id&sellchannel,6,60004,0,点评M站,电影专属,,
order_source&channel_id&sellchannel,6,60005,0,点评主站,电影专属,,
order_source&channel_id&sellchannel,6,60006,12,点评微信小程序,微信吃喝玩乐,,
order_source&channel_id&sellchannel,6,60007,13,点评手机QQ,演出M站,,
order_source&channel_id&sellchannel,6,60008,13,点评手Q钱包吃喝玩乐入口,演出M站,,
order_source&channel_id&sellchannel,1,40000,4,猫眼微信小程序,微信演出赛事,,
order_source&channel_id&sellchannel,1,40001,6,猫眼微信服务号,微信演出赛事,,
order_source&channel_id&sellchannel,1,40002,4,猫眼演出小程序,微信演出赛事,,
order_source&channel_id&sellchannel,1,40003,0,猫眼对接第三方的I版,电影专属,,
order_source&channel_id&sellchannel,0,40004,0,专业版app,电影专属,,
order_source&channel_id&sellchannel,0,40005,0,专业版小程序,电影专属,,
order_source&channel_id&sellchannel,0,40006,0,企业后台,电影专属,,
order_source&channel_id&sellchannel,0,40007,0,媒体审核后台,电影专属,,
order_source&channel_id&sellchannel,0,40008,0,统一Admin后台,电影专属,,
order_source&channel_id&sellchannel,0,40009,0,专业版I版,电影专属,,
order_source&channel_id&sellchannel,0,40010,0,爬虫,电影专属,,
order_source&channel_id&sellchannel,1,40011,0,猫眼PC,电影专属,,
order_source&channel_id&sellchannel,7,70001,7,微信钱包一级入口,微信演出赛事,,
order_source&channel_id&sellchannel,7,70002,13,手Q钱包一级入口,演出M站,,
order_source&channel_id&sellchannel,8,80001,8,格瓦拉app,格瓦拉,,
order_source&channel_id&sellchannel,9,90000,0,娃娃机,电影专属,,
order_source&channel_id&sellchannel,9,90001,0,娃娃机微信入口,电影专属,,
order_source&channel_id&sellchannel,9,90002,0,娃娃机美团入口,电影专属,,
order_source&channel_id&sellchannel,9,90003,0,娃娃机点评入口,电影专属,,
order_source&channel_id&sellchannel,9,90004,0,娃娃机支付宝入口,电影专属,,
order_source&channel_id&sellchannel,9,90005,0,娃娃机I版入口,电影专属,,
