mv_id,event_id,event_name_lv1,event_name_lv2,page_identifier,user_int,biz_par,biz_typ,page_loc,status,begin_date,end_date,page_name_my,cid_type,operation_flag
110,b_hixo3spm,增改地址,增改地址,c_pp92sa1m,6,,,0,1,2018-07-05,2099-01-01,演出确认订单页,native,0
111,b_f622c76n,增改购票人信息,增改购票人信息,c_pp92sa1m,6,city_id,custom,0,1,2018-07-05,2099-01-01,演出确认订单页,native,0
112,b_b7n4p3ga,增改购票人信息,增改购票人信息,c_pp92sa1m,6,,,0,1,2018-07-05,2099-01-01,演出确认订单页,native,0
113,b_mj253lns,场馆地址,场馆地址,c_b5okwrne,6,drama_id&city_id,custom&event_attribute,0,1,2018-07-05,2099-01-01,演出详情页,native,0
114,b_k27e5h8w,分享,分享,c_b5okwrne,6,,,0,1,2018-07-05,2099-01-01,演出详情页,native,0
115,b_5qfc6t8s,购票须知tab,购票须知tab,c_b5okwrne,6,drama_Id&city_id,custom,0,1,2018-07-05,2099-01-01,演出详情页,native,0
116,b_brrqw7fm,即将开售,即将开售,c_b5okwrne,6,drama_Id&city_id,custom&event_attribute,0,1,2018-07-05,2099-01-01,演出详情页,native,0
117,b_js09i85v,开售提醒,开售提醒,c_b5okwrne,6,drama_Id&city_id,custom&event_attribute,0,1,2018-07-05,2099-01-01,演出详情页,native,0
118,b_8pwij9ll,立即购票,立即购票,c_b5okwrne,6,drama_Id&city_id,custom&event_attribute,0,1,2018-07-05,2099-01-01,演出详情页,native,0
119,b_ov4aespu,开售提醒,开售提醒_提交,c_b5okwrne,6,drama_id&city_id,custom&event_attribute,0,1,2018-07-05,2099-01-01,演出详情页,native,0
120,b_eh26bo2d,收藏,想看,c_b5okwrne,6,drama_Id&city_id,event_attribute,0,1,2018-07-05,2099-01-01,演出详情页,native,0
121,b_gbbe3nvy,座位选择购票,座位选择购票,c_b5okwrne,6,deal_id,custom&event_attribute,0,1,2018-07-05,2099-01-01,演出详情页,native,0
122,b_jyeyyu11,确认选票,确认选票,c_rpnwdkyc,6,,,0,1,2018-07-05,2099-01-01,演出座位选择页,native,0
123,b_dua6s5tw,类目导航,类目导航_tab,c_butmynlk,3,cat_id,custom&utm_source,0,1,2018-07-05,2099-01-01,演出首页,pc,0
124,b_8itfvcsd,类目楼层,类目楼层,c_butmynlk,3,cat_id,event_attribute&utm_source,20,1,2018-07-05,2099-01-01,演出首页,pc,0
125,b_xpqus97y,类目楼层,类目楼层_更多,c_butmynlk,3,cat_id,event_attribute&utm_source,21,1,2018-07-05,2099-01-01,演出首页,pc,0
126,b_9p1qckxy,类目楼层,类目楼层_项目,c_butmynlk,3,deal_id,event_attribute&utm_source,22,1,2018-07-05,2099-01-01,演出首页,pc,0
127,b_6oovijpy,头部banner,头部banner,c_butmynlk,3,,,10,1,2018-07-05,2099-01-01,演出首页,pc,0
128,b_bca0qg9d,头部banner,头部banner,c_butmynlk,3,,,10,1,2018-07-05,2099-01-01,演出首页,pc,0
129,b_4n6fk9ne,类目导航,类目导航_项目,c_butmynlk,1,deal_id,event_attribute&utm_source,10,1,2018-07-05,2099-01-01,演出首页,pc,0
130,b_qdfkp6ju,最新上架,最新上架_项目,c_butmynlk,4,,,30,1,2018-07-05,2099-01-01,演出首页,pc,0
131,b_21u4tg3g,搜索,搜索无结果提示框,c_352o88g9,1,keyword,custom&utm_source,0,1,2018-07-05,2099-01-01,演出搜索页,pc,0
132,b_4korxagv,搜索,搜索页项目,c_352o88g9,1,,,10,1,2018-07-05,2099-01-01,演出搜索页,pc,0
133,b_1gup42he,购票须知tab,购票须知tab,c_bfo0abmf,6,,utm_source,0,1,2018-07-05,2099-01-01,演出详情页,pc,0
134,b_p546f7wy,演出详情页,演出详情页,c_bfo0abmf,6,deal_id,event_attribute&utm_source,0,1,2018-07-05,2099-01-01,演出详情页,pc,0
135,b_3vxsgvhk,热门场馆,热门场馆_场馆,pages/show/index/index,3,index&cityId&shopId,event_attribute,62,1,2018-07-05,2099-01-01,演出首页,mini_programs,0
136,b_6e5ab2j0,中部banner,中部banner,pages/show/index/index,3,index&cityId&showId&activityId,event_attribute,30,1,2018-07-05,2099-01-01,演出首页,mini_programs,1
137,b_6oaseqyw,发现精彩,发现精彩_RB二,pages/show/index/index,3,index&cityId&showId&activityId,event_attribute,50,1,2018-07-05,2099-01-01,演出首页,mini_programs,1
138,b_7rb5gk5m,中部banner,中部banner,pages/show/index/index,3,index&cityId&showId&activityId,event_attribute,30,1,2018-07-05,2099-01-01,演出首页,mini_programs,1
139,b_93din34b,头部banner,头部banner,pages/show/list/index,3,categoryId,custom,10,1,2018-07-05,2099-01-01,演出列表页,mini_programs,1
140,b_dcq4bhuq,头部banner,头部banner,pages/show/list/index,3,categoryId,custom,10,1,2018-07-05,2099-01-01,演出列表页,mini_programs,1
141,b_eagnm46b,热门场馆,热门场馆_更多,pages/show/index/index,3,cityId,event_attribute,61,1,2018-07-05,2099-01-01,演出首页,mini_programs,0
142,b_jilswssk,发现精彩,发现精彩_RB二,pages/show/index/index,3,index&cityId&showId&activityId,event_attribute,50,1,2018-07-05,2099-01-01,演出首页,mini_programs,1
143,b_k1qyr71s,发现精彩,发现精彩_RB一,pages/show/index/index,3,index&cityId&showId&activityId,event_attribute,40,1,2018-07-05,2099-01-01,演出首页,mini_programs,1
144,b_ndj7d48v,头部banner,头部banner,pages/show/index/index,3,index&cityId&showId&activityId,event_attribute,10,1,2018-07-05,2099-01-01,演出首页,mini_programs,1
145,b_suza8z57,热门场馆,热门场馆_项目,pages/show/index/index,3,index&cityId&performanceId,event_attribute,63,1,2018-07-05,2099-01-01,演出首页,mini_programs,0
146,b_wmz2x07f,发现精彩,发现精彩_RB一,pages/show/index/index,3,index&cityId&showId&activityId,event_attribute,40,1,2018-07-05,2099-01-01,演出首页,mini_programs,1
147,b_wurknpf4,热门场馆,热门场馆,pages/show/index/index,3,index&cityId&shopId,event_attribute,60,1,2018-07-05,2099-01-01,演出首页,mini_programs,0
148,b_z84owham,头部banner,头部banner,pages/show/index/index,3,index&cityId&showId&activityId,event_attribute,10,1,2018-07-05,2099-01-01,演出首页,mini_programs,1
149,filterRecommendList,为你推荐,为你推荐_排序,pages/show/index/index,4,,utm_source,101,1,2018-07-05,2099-01-01,演出首页,mini_programs,0
150,list_item_click,为你推荐,为你推荐_项目,pages/show/index/index,4,index&id,event_attribute,103,1,2018-07-05,2099-01-01,演出首页,mini_programs,0
151,onInput,搜索,搜索词,pages/show/index/index,1,,utm_source,0,1,2018-07-05,2099-01-01,演出首页,mini_programs,1
152,show_icon_click,金刚区,金刚区_icon,pages/show/index/index,2,index,event_attribute,20,1,2018-07-05,2099-01-01,演出首页,mini_programs,1
153,sortRecommendList,为你推荐,为你推荐_筛选,pages/show/index/index,4,,utm_source,102,1,2018-07-05,2099-01-01,演出首页,mini_programs,0
154,b_to85lkzt,头部banner,头部banner,c_f740bkf7,3,city_id,custom,10,1,2018-07-05,2099-01-01,平台首页,native,1
155,b_qv24cb7c,收藏,想看,pages/show/detail/index,6,id,custom,0,1,2018-07-25,2099-01-01,演出详情页,mini_programs,0
156,b_uusk5nvw,收藏,想看,pages/show/detail/index,6,id,custom,0,1,2018-07-25,2099-01-01,演出详情页,mini_programs,0
157,b_okjqo1ip,收藏,想看的演出,pages/user/index,6,,,0,1,2018-07-25,2099-01-01,我的,mini_programs,0
158,b_4k9uq6c0,项目列表,项目列表,pages/showsubs/collect/index,6,,,0,1,2018-07-26,2099-01-01,演出收藏列表页,mini_programs,0
159,b_zu53qhgn,项目列表,项目列表,pages/showsubs/collect/index,6,index&id,custom,0,1,2018-07-26,2099-01-01,演出收藏列表页,mini_programs,0
160,b_93hfvvrs,为你推荐,为你推荐_项目,pages/showsubs/collect/index,6,,,10,1,2018-07-26,2099-01-01,演出收藏列表页,mini_programs,0
161,b_4z7sol2p,为你推荐,为你推荐_项目,pages/showsubs/collect/index,6,index&id,custom,10,1,2018-07-26,2099-01-01,演出收藏列表页,mini_programs,0
162,b_llo9fl3h,分享,弹出浮层,pages/show/detail/index,6,id&cityId&gcityId,custom,1,1,2018-07-26,2099-01-01,演出详情页,mini_programs,0
163,b_u7xnilr5,分享,弹出浮层,pages/show/detail/index,6,id&cityId&gcityId,custom,1,1,2018-07-26,2099-01-01,演出详情页,mini_programs,0
164,b_5w61fx9x,分享,推荐给好友,pages/show/detail/index,6,id&cityId&gcityId,custom,1,1,2018-07-26,2099-01-01,演出详情页,mini_programs,0
165,b_b0j2zwiq,分享,保存图片分享,pages/show/detail/index,6,id&cityId&gcityId,custom,1,1,2018-07-26,2099-01-01,演出详情页,mini_programs,0
166,b_2ifkcly9,分享,保存图片成功,pages/show/detail/index,6,id&cityId&gcityId,custom,1,1,2018-07-26,2099-01-01,演出详情页,mini_programs,0
167,b_w047f3uw,立即支付,立即支付_pay,packages/show/pages/order/confirm,6,pId&id,custom&order_id&utm_source,0,1,2018-07-05,2099-01-01,演出确认订单页,mini_programs,0
