dpcity_id,deliverycity_name
178,十堰
178,十堰市
339,石河子
24,石家庄
24,石家庄市
322,石嘴山
322,石嘴山市
1454,双河市
83,双鸭山
83,双鸭山市
40,朔州
40,朔州市
72,四平
72,四平市
76,松原
76,松原市
6,苏州
6,苏州市
90,绥化
90,绥化市
187,随州
187,随州市
244,遂宁
244,遂宁市
337,塔城地区
340,台湾
108,台州
108,台州市
35,太原
35,太原市
151,泰安
151,泰安市
99,泰州
99,泰州市
25,唐山
25,唐山市
10,天津
10,天津市
191,天门
303,天水
303,天水市
67,铁岭
67,铁岭市
74,通化
74,通化市
50,通辽
50,通辽市
290,铜川
290,铜川市
116,铜陵
116,铜陵市
262,铜仁
262,铜仁地区
262,铜仁市
3528,吐鲁番地区
406,屯昌县
407,万宁
152,威海
152,威海市
149,潍坊
149,潍坊市
293,渭南
293,渭南市
101,温州
101,温州市
408,文昌
274,文山州
274,文山壮族苗族自治州
48,乌海
48,乌海市
55,乌兰察布
55,乌兰察布市
325,乌鲁木齐
325,乌鲁木齐市
13,无锡
13,无锡市
111,芜湖
111,芜湖市
323,吴忠
323,吴忠市
227,梧州
227,梧州市
410,五指山
16,武汉
16,武汉市
304,武威
304,武威市
17,西安
17,西安市
313,西宁
313,西宁市
276,西双版纳
276,西双版纳傣族自治州
54,锡林郭勒
54,锡林郭勒盟
189,仙桃
186,咸宁
186,咸宁市
292,咸阳
292,咸阳市
341,香港
193,湘潭
193,湘潭市
204,湘西
204,湘西土家族苗族自治州
1271,襄樊市
180,襄阳
180,襄阳市
183,孝感
183,孝感市
43,忻州
43,忻州市
166,新乡
166,新乡市
138,新余
138,新余市
174,信阳
174,信阳市
28,邢台
28,邢台市
53,兴安盟
100,宿迁
100,宿迁市
121,宿州
121,宿州市
92,徐州
92,徐州市
169,许昌
169,许昌市
126,宣城
126,宣城市
252,雅安
252,雅安市
148,烟台
148,烟台市
294,延安
294,延安市
78,延边
78,延边朝鲜族自治州
97,盐城
97,盐城市
12,扬州
12,扬州市
217,阳江
217,阳江市
37,阳泉
37,阳泉市
85,伊春
85,伊春市
336,伊犁
336,伊犁哈萨克自治州
249,宜宾
249,宜宾市
179,宜昌
179,宜昌市
142,宜春
142,宜春市
199,益阳
199,益阳市
321,银川
321,银川市
139,鹰潭
139,鹰潭市
63,营口
63,营口市
201,永州
201,永州市
296,榆林
296,榆林市
232,玉林
232,玉林市
269,玉溪
269,玉溪市
196,岳阳
196,岳阳市
223,云浮
223,云浮市
42,运城
42,运城市
146,枣庄
146,枣庄市
210,湛江
210,湛江市
198,张家界
198,张家界市
30,张家口
30,张家口市
305,张掖
305,张掖市
130,漳州
130,漳州市
70,长春
70,长春市
344,长沙
344,长沙市
38,长治
38,长治市
271,昭通
271,昭通市
212,肇庆
212,肇庆市
98,镇江
98,镇江市
160,郑州
160,郑州市
220,中山
220,中山市
351,中卫
351,中卫市
9,重庆市
107,舟山
107,舟山市
175,周口
175,周口市
206,珠海
206,珠海市
192,株洲
192,株洲市
176,驻马店
176,驻马店市
254,资阳
254,资阳市
145,淄博
145,淄博市
238,自贡
238,自贡市
260,遵义
260,遵义市
