province_id,province_name,area_1_level_id,area_1_level_name,area_2_level_id,area_2_level_name
0,其他,0,其他,0,其他
1,北京市,1,北部,1,京津冀
2,天津市,1,北部,1,京津冀
3,河北省,1,北部,1,京津冀
4,山西省,2,西部,2,西北
5,内蒙古自治区,2,西部,2,西北
6,辽宁省,1,北部,3,东北
7,吉林省,1,北部,3,东北
8,黑龙江省,1,北部,3,东北
9,上海市,3,东部,4,上海
10,江苏省,3,东部,5,苏皖
11,浙江省,3,东部,6,浙江
12,安徽省,3,东部,5,苏皖
13,福建省,4,南部,7,华南
14,江西省,4,南部,8,中南
15,山东省,1,北部,9,鲁豫
16,河南省,1,北部,9,鲁豫
17,湖北省,4,南部,8,中南
18,湖南省,4,南部,8,中南
19,广东省,4,南部,7,华南
20,广西壮族自治区,4,南部,7,华南
21,海南省,4,南部,10,东南
22,重庆市,2,西部,11,渝贵
23,四川省,2,西部,12,西南
24,贵州省,2,西部,11,渝贵
25,云南省,2,西部,12,西南
26,西藏自治区,2,西部,12,西南
27,陕西省,2,西部,2,西北
28,甘肃省,2,西部,2,西北
29,青海省,2,西部,2,西北
30,宁夏回族自治区,2,西部,2,西北
31,新疆维吾尔自治区,2,西部,2,西北
32,香港,4,南部,10,东南
33,澳门,4,南部,10,东南
34,台湾,4,南部,10,东南
